device,endlatitude,endlocaltime,endlongitude,endodometer,filedate,filetimeutc,numbsmtx,numcanoutages,numgnssoutages,numinforms,numintersectionencounters,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,startlatitude,startlocaltime,startlongitude,startodometer,utctime,uuid,tripid,tripdistance,avgspeed
101228,40.24236854955184,68579126.0,-83.37464284070647,,20200630.0,185315.0,5749.0,3.0,0.0,0.0,10.0,0.0,0.0,7110.0,0.0,40.2667291976714,68286296.0,-83.37477883137977,0.0,,02fe491700e51a1ae546b9705dfd03a9,88f7eb59bbdd431493af24ac68fbc072,2705.0196172832734,10.105170066318493
102394,40.08542572458671,60825586.0,-83.0900685122041,,20200606.0,163541.0,10752.0,5.0,0.0,0.0,0.0,624.0,0.0,0.0,0.0,40.156480652439306,59849490.0,-83.03908516702883,0.0,1591461341781.0,0306ae51b6536fd241a6e216565fc7c2,ab75005fb4de846881e8b26d06433910,9007.508225495598,13.353172125388573
102645,40.09834008704278,5232058.0,-83.15696561934637,,20200626.0,10053.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.28536219309459,3860732.0,-83.52706031232846,0.0,1593133253115.0,030a052e9273e991a00dc7650372c30c,b1c944ec2ca98f6e19ecdb2fe73d3d50,37741.95895670293,32.07301576455142
102816,40.31518132835647,60854699.0,-83.45775935461994,,20200624.0,164800.0,4895.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.26749844440612,60481565.0,-83.39817662666077,0.0,1593017280967.0,035e3bebfcde93dd80cd961964c0c46d,2ded084b4cdb7cd9ff5a1132f5abf726,7328.133014087834,22.025141564971737
100943,40.0869485443431,56566198.0,-83.08954420316813,,20200612.0,153054.0,6956.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.06410873209915,55937541.0,-83.14189125444518,0.0,1591975854777.0,0369cda916d3f305e5376c55685c2e48,0b92c6acc4205fc39dd1b6bff4a1a1fd,5135.115919076288,11.526258595184107
101735,40.107720109540594,40959235.0,-83.01942540655445,,20200629.0,111744.0,2457.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.09982226670146,40833424.0,-83.01732259392928,0.0,1593429464415.0,036cac55a71390dd63a8e1d5af720b83,f5e1fa53c641a0f5ae6dcefaf11fbc21,895.0909258686684,7.174723739114035
100943,40.06297439709369,6080212.0,-83.15370623259565,,20200618.0,233933.0,,113.0,0.0,0.0,3.0,0.0,0.0,3251.0,0.0,41.05950559692178,85173775.0,-84.98026457317503,0.0,1592523573262.0,038d73a172093d1b1bbd327244b844bf,5e663ba3a574c2d55f704f3a47f814b9,190191.047124008,29.228019006377362
102743,40.06297439709369,59515149.0,-83.15370623259565,,20200606.0,163142.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.05950559692178,59502249.0,-84.98026457317503,0.0,1591461102249.0,03bcfa0eca5e5f491dffd137f39d57b2,f7dd86fbe1609a5dc1f33e8918bd2c11,190191.047124008,3.75795836
101260,40.28538689727645,52826384.0,-83.52694029962593,,20200624.0,141333.0,18348.0,5.0,0.0,1.0,1.0,444.0,0.0,2663.0,0.0,40.091759108614895,51331744.0,-83.15831657662592,0.0,1593008013702.0,03df108e46f1260348e5e85f8de3339b,59166a3458d29bfd4264a6e1ebd4f1e9,38048.287257115415,28.33878154298731
100614,40.06077188694568,74814546.0,-83.16058171760308,,20200622.0,200522.0,26092.0,,0.0,0.0,0.0,12.0,0.0,4335.0,0.0,40.28536377041164,73072663.0,-83.52706882763304,0.0,1592856322490.0,03ebf217bd0891929167e050c194359b,e520232372406abcdc1219f48b59a7d2,39954.79402750031,27.001086150492977
102394,40.302760533961866,79383553.0,-83.52775341192367,,20200625.0,220151.0,547.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.28536377041164,79311028.0,-83.52706882763304,0.0,1593122511028.0,03fc7f7bff39e64c82c5362466ebae32,516f0db83f566711c7c6240e875d89b2,1932.6184174460284,4.064120241666667
102059,40.115714373959015,45375978.0,-83.15199629301648,,20200603.0,123309.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.11623096200285,45194962.0,-83.14118596847815,0.0,1591187589762.0,044b33a00b5072bbc62573c26915259e,bd0c0a3ff1df00c8266fccf1172dbb0d,923.3550882818198,7.360514087080441
103540,40.05858031321794,64779121.0,-82.86285391996975,,20200629.0,173844.0,12504.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.18889658571716,63671197.0,-82.75724789786514,0.0,1593452324885.0,04556bd5475cfbc5791a168047ac5a82,ef1a4948ed189dff179f7768b0a01890,17041.457135811892,18.20285170232305
103760,40.110447745097815,80827392.0,-83.18916546876268,,20200608.0,221605.0,6529.0,41.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.22214635120408,80169422.0,-83.32175448184171,0.0,1591654565326.0,0479c4807bbf28a97874298904ae2d04,06cd9a97093d259e446c536d395eb4fa,16774.995657338895,27.924857285946565
101228,40.42579477144529,59076501.0,-83.29585682320236,,20200621.0,162247.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.42579710477862,58968390.0,-83.29586365653573,0.0,1592756567791.0,048a9cf86ab9334d8faca7a88e3cda7d,c305de59776ac5ee9de1c4e76f20e33c,0.6351365026308429,0.5417958655813953
103540,39.996133496546,62225762.0,-83.05268979472835,,20200606.0,165232.0,14693.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.089295582288216,60753214.0,-82.8250709979492,0.0,1591462352615.0,04a4e86f3d423b808294610a4a733c09,7824eb820b7cfa4b52dd2fec9ae95563,22007.71800246626,24.93309016830445
100810,40.2283359146012,77515880.0,-83.33846439799258,,20200615.0,213042.0,644.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.230455512715466,77443174.0,-83.33940219320763,0.0,1592256642576.0,04c3d32190050c3e48734a1258dc31a3,0603e52ac031c758170b11a60e9701ed,248.52288779622629,4.8415701123611115
102629,40.12563863519324,63208139.0,-83.17817693705408,,20200630.0,172844.0,4457.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.10948252112893,63108029.0,-83.17675885012139,0.0,,04cbd01388ff00e0e3abd528d87014e7,ee5f03cbbefcbb5366f99a6e606c975d,1797.993254743539,17.001763608759124
101673,40.178897916114046,75820496.0,-83.17762501482186,,20200606.0,202958.0,18228.0,,0.0,0.0,0.0,142.0,0.0,1403.0,0.0,40.17881324207885,73963006.0,-83.17766690416161,0.0,1591475398254.0,04f58328d6183ed477d171988de79064,f83323c0a7daf2f6c72fd03988ed142e,10.056200543921495,14.384824806392304
102752,40.15375050016832,66049154.0,-83.23900591441596,,20200622.0,175716.0,15467.0,3.0,0.0,0.0,1.0,222.0,0.0,1347.0,0.0,40.28543138188136,64869142.0,-83.52694447448928,0.0,1592848636636.0,04f5e4304c54db106bc21cfe428c1db9,dd6cb4978fb0e8f29a9fd95bd2aafffd,28539.367120833842,28.125472342447058
101228,40.08831316218898,60485865.0,-83.10691234037044,,20200628.0,162356.0,14200.0,3.0,0.0,0.0,4.0,445.0,0.0,9897.0,1.0,40.26671520150889,59202544.0,-83.37477740219377,0.0,1593361436500.0,0511500bc4f425f0eeaa04a51289b193,2eb41df209dce2a2de84d9d16e40dee3,30214.58590260337,25.404868278662324
102701,40.26329166406796,74853395.0,-83.37424940676,,20200611.0,203758.0,7074.0,13.0,0.0,0.0,0.0,0.0,0.0,10989.0,0.0,40.23159298225822,74279140.0,-83.39279407191569,0.0,1591907878547.0,051d3bc56d70f401e2d6b1b655cab3a7,5b38b2d440356e923d6ba65145fe70e9,3857.289309573388,10.023017393388791
102752,40.14191780618467,73693796.0,-83.24819271144558,,20200613.0,191359.0,45822.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.55778571326963,69262262.0,-84.00265236980583,0.0,1592075639580.0,052e43fdabcc66cb8b7a24bc6c8e4aa9,b39c2695ab3b0adc9b013239297a25ec,91516.29662059166,24.321095076291325
102743,40.09922029312306,4794356.0,-83.11722344929046,,20200605.0,10407.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.23689317688969,3848459.0,-83.3501199130625,0.0,1591319047860.0,0541b250a79fa963f4f36502f8623bd9,4cb5a732bcf0b04c8a083b018df00d19,25045.51695121704,29.039048455465608
100134,40.08445987360491,59075498.0,-83.04996824409875,0.0,20200623.0,161721.0,5489.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.08710149385588,58642559.0,-83.08886446382091,0.0,1592929041966.0,0542efcfda0d3973eb2cb19ba585cba9,8898eb10c8eaf2420e790d1b04d7214d,3330.2803149113893,10.867548148963913
101589,40.16162980773986,78339424.0,-83.19233751006689,,20200610.0,211511.0,19128.0,5.0,0.0,0.0,0.0,0.0,0.0,1364.0,0.0,40.29510030802561,76737563.0,-83.50671061456828,0.0,1591823711679.0,054a84de7d28336ba81cf6c1cfd8c3ba,b134828865d2e58f92289db321a08eb4,30586.289321140484,23.277054656727188
100085,40.13837161446135,59422787.0,-83.14439972499183,,20200630.0,160959.0,13556.0,5.0,0.0,2.0,2.0,1738.0,0.0,6973.0,0.0,40.091540315809695,58200568.0,-83.09023703686134,0.0,,05844a534cc723cc133cc9cae935f740,4b517e6f838ffdf3de9b3bafe4409b17,6954.159360969348,9.577930411855665
103760,40.102752231298666,84806855.0,-83.1635375966284,,20200608.0,232747.0,3303.0,5.0,0.0,0.0,,0.0,0.0,55.0,0.0,40.110447745097815,84468422.0,-83.18916546876268,0.0,1591658867830.0,0588353627f2aea4a1b43939a9070378,112d70d253a7c3ced37d8af8fc864638,2346.1911543871797,9.372608825911112
100943,40.06296221183521,78899342.0,-83.1655503783788,,20200626.0,214425.0,7151.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.109001745075815,78265680.0,-83.18808463889692,0.0,1593207865082.0,058dd136618752b7002ad6609bd86009,f88a2ab6a6dd2299ccea986b01f36058,5461.385803607736,11.483870124405705
101910,40.05156133389504,63707558.0,-83.15935674688988,,20200601.0,170649.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.28542138926714,61875374.0,-83.5269785343995,0.0,1591031209369.0,059d7a8511d692618647648ec9531a20,c8c9d103265ff57b5f10c96812413fdc,40681.04228064208,26.53001509056655
100148,40.12713442303652,81475260.0,-83.17836190150288,,20200622.0,223126.0,5863.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.15812115989373,81087124.0,-83.23435526124673,0.0,1592865086529.0,05a1a4fe2711ffedc921e0ff2604d220,2d8599e701147a7697978b0f14c544cc,5882.667457828074,17.01214667645161
103494,40.11751428398245,77585754.0,-83.066761319267,,20200619.0,212918.0,2021.0,19.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.15812115989373,77358596.0,-83.23435526124673,0.0,1592602158596.0,05c41a529409782c4c4a6523fb5cf972,2e05bf7a6345b9cd1fb6f57c735f608f,14977.477337837452,3.974551806451613
101576,45.98182881831006,1439427.0,-83.85593675805123,,20200629.0,2321.0,295.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.98184681831009,1401823.0,-83.85589759139063,0.0,1593390201226.0,05c7352e20e9c39a0ce388864c0bf295,b996b3de3859cd5bbbb7bbf87ea2211f,3.6350956717664356,2.024122765618421
102163,40.09483278674848,77692075.0,-83.13072695604002,,20200617.0,212950.0,2235.0,5.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,40.079528352509215,77463652.0,-83.11400410944081,0.0,1592429390598.0,05e074ac2d58340ed50e6a7dbbfbe909,241c6d3fdc816e17221dff02e09bbd8e,2218.526528786785,13.736442879478115
101735,40.0893253775405,74937599.0,-83.03262075339153,,20200624.0,194417.0,40748.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.099820888603546,71311440.0,-83.01731713907107,0.0,1593027857432.0,05ea0394eda62aadf66715163c671907,8886d89f2265505f022040274c1bedc0,1749.635338292142,10.344407384658567
101084,40.09638207175303,74127296.0,-83.09259606634213,,20200606.0,202735.0,4056.0,5.0,0.0,0.0,2.0,0.0,0.0,2922.0,0.0,40.09599099237587,73717256.0,-83.12884930048003,0.0,1591475255404.0,0609e835f6689dd448b7028863cef671,32cec3272a59cf2788857377caa3317b,3091.7603069691622,8.795451948914893
100943,40.06420976826684,80375597.0,-83.14191356117395,,20200610.0,220910.0,7826.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.08693247550874,79750938.0,-83.08930003866607,0.0,1591826950341.0,0614ece9da22e6d3b056fa3a847a243e,c1248936068ab79b2ea76f47406d28ef,5148.505726742795,11.711189146938809
100329,40.17435326354964,76351642.0,-83.09214139032855,,20200612.0,210814.0,3845.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.16625938362479,76267935.0,-83.08844059923995,0.0,1591996094520.0,0619c8df8ccf8f95a0ab2eb1a162245c,865ae706f5529a70127a4a8eb1e59821,952.4107797587441,11.749784787500001
